"Time (UTC)","Gender","Age","Geography","Urban Density","Income","Weight","Screener Answer","Answer"
"2012-11-06 14:01:25","Unknown","Unknown","US-MIDWEST-WI-Green-Bay","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:01:17","Male","45-54","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",1.5794568,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:01:21","Male","55-64","US-SOUTH-TX-Houston","Urban","$25,000-$49,999",1.4908022,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:06:33","Male","65+","US-WEST-AZ-Scottsdale","Urban","$25,000-$49,999",1.1937099,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:36","Male","35-44","US","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:35","Female","25-34","US-SOUTH-TN-Tazewell","Rural","$0-$24,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:41","Male","25-34","US-NORTHEAST-NY-Binghamton","Suburban","$25,000-$49,999",1.1159799,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:06:39","Male","25-34","US-SOUTH-AL-Birmingham","Urban","$0-$24,999",1.1818841,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:43","Male","65+","US-SOUTH-NC-Morganton","Rural","$25,000-$49,999",1.2413651,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:43","Female","Unknown","US-NORTHEAST-VT-Burlington","Suburban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:06:43","Female","45-54","US-SOUTH-MS-Jackson","Suburban","$25,000-$49,999",0.8288947,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:47","Male","45-54","US-SOUTH-FL-Orlando","Urban","$25,000-$49,999",1.7143315,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:06:46","Male","Unknown","US-SOUTH-NC-Charlotte","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:09:11","Female","25-34","US-NORTHEAST-NY-Rochester","Urban","$0-$24,999",0.9986669,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:12:58","Female","25-34","US-MIDWEST-MO-Kirksville","Suburban","$25,000-$49,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:13:05","Female","55-64","US-WEST-AZ-Lake-Havasu-City","Suburban","$25,000-$49,999",0.5122865,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:07","Male","45-54","US-SOUTH-GA-Marietta","Urban","$25,000-$49,999",1.7143315,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:07","Female","55-64","US-MIDWEST-IL-Sugar-Grove","Rural","$50,000-$74,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:07","Male","35-44","US-SOUTH-NC-Matthews","Suburban","$50,000-$74,999",2.063548,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:10","Unknown","Unknown","US-SOUTH-FL-Bayonet-Point","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:25","Male","45-54","US-SOUTH-TX-Dallas","Urban","$25,000-$49,999",1.7143315,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:11","Female","25-34","US-SOUTH-TX-Rockwall","Suburban","$50,000-$74,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:11","Male","45-54","US-WEST-CA-Ontario","Suburban","$25,000-$49,999",1.5794568,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:14","Female","55-64","US-SOUTH-LA-New-Orleans","Urban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:16","Female","55-64","US-SOUTH-GA-Stone-Mountain","Urban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:14","Male","65+","US-SOUTH-NC-Morganton","Rural","$25,000-$49,999",1.2413651,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:17","Unknown","Unknown","US-SOUTH-TN-Nashville","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Third party candidate"
"2012-11-06 14:14:18","Male","65+","US-MIDWEST-MN-Lindstrom","Rural","$50,000-$74,999",1.0142414,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:20","Female","18-24","US-NORTHEAST-NY-New-York","Urban","$50,000-$74,999",0.6704847,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:24","Male","65+","US-SOUTH-FL-Gainesville","Rural","$25,000-$49,999",1.2413651,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:25","Female","25-34","US-WEST-WA-Seattle","Urban","$25,000-$49,999",0.9446547,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:21","Female","45-54","US-SOUTH-AL-Hoover","Suburban","$50,000-$74,999",0.8288947,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:34","Unknown","Unknown","US-SOUTH-FL-Ocala","Suburban","$0-$24,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:24","Female","65+","US-MIDWEST-WI-Neenah","Suburban","$50,000-$74,999",0.6473189,"Third party candidate / Undecided","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:25","Unknown","Unknown","US-MIDWEST-IL-Cary","Suburban","$50,000-$74,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:29","Male","65+","US-WEST-CA-West-Covina","Urban","$50,000-$74,999",1.1937099,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:30","Unknown","Unknown","US-SOUTH-TX-San-Antonio","Suburban","$0-$24,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:34","Female","55-64","US-MIDWEST-IL-Lena","Rural","$25,000-$49,999",0.3894083,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:14:27","Female","35-44","US-NORTHEAST-PA-Seven-Fields","Suburban","$50,000-$74,999",2.2664681,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:14:29","Female","25-34","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",0.9446547,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:20:33","Female","55-64","US-WEST-CA-Roseville","Urban","$50,000-$74,999",0.5122865,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:21:07","Female","55-64","US-WEST-WA-Aberdeen","Suburban","$25,000-$49,999",0.5122865,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:06","Female","25-34","US-SOUTH-FL-Palm-Coast","Suburban","$25,000-$49,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:11","Female","25-34","US-NORTHEAST-PA-Ardmore","Urban","$75,000-$99,999",0.9986669,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:08","Female","35-44","US-MIDWEST-IN-Indianapolis","Urban","$50,000-$74,999",1.0257441,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:11","Male","25-34","US-WEST-CA-Anaheim","Urban","$25,000-$49,999",0.8522426,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:13","Female","25-34","US-NORTHEAST-NY-Tarrytown","Urban","$50,000-$74,999",0.9986669,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:14","Unknown","Unknown","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:15","Female","18-24","US-MIDWEST-IL-Arlington-Heights","Urban","$50,000-$74,999",0.6355445,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:13","Female","55-64","US-MIDWEST-IL-Riverwoods","Urban","$100,000-$149,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:11","Female","55-64","US-SOUTH-TX-Dallas","Urban","$25,000-$49,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:13","Unknown","Unknown","US-SOUTH-VA-Tysons-Corner","Suburban","$75,000-$99,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:16","Female","55-64","US-SOUTH-SC-Irmo","Suburban","$50,000-$74,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:21:16","Female","45-54","US-NORTHEAST-NY-Montgomery","Rural","$50,000-$74,999",1.105404,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:25","Female","55-64","US-MIDWEST-OH-Bexley","Urban","$25,000-$49,999",0.3894083,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:16","Male","25-34","US-WEST-NM-Santa-Fe","Suburban","$25,000-$49,999",0.8522426,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:21:21","Female","45-54","US-MIDWEST-MN-Perham","Rural","$25,000-$49,999",0.5425941,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:26:52","Female","55-64","US-SOUTH-TN-Knoxville","Urban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:10","Female","35-44","US","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:31","Female","25-34","US-MIDWEST-IL-Roselle","Urban","$50,000-$74,999",0.9362303,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:49","Male","25-34","US-MIDWEST-MN-Blaine","Suburban","$50,000-$74,999",1.1495767,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:45","Male","65+","US-NORTHEAST-NY-Binghamton","Suburban","$25,000-$49,999",1.7463493,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:44","Female","65+","US-SOUTH-GA-Covington","Rural","$25,000-$49,999",1.0581287,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:49","Female","55-64","US-MIDWEST-IL-Rockford","Suburban","$25,000-$49,999",0.3894083,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:51","Female","55-64","US-SOUTH-GA-Stockbridge","Suburban","$50,000-$74,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:57","Female","Unknown","US-SOUTH-TX-Dumas","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:53","Unknown","Unknown","US-SOUTH-NC-Cornelius","Suburban","$75,000-$99,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:52","Female","25-34","US-SOUTH-GA-Atlanta","Urban","$25,000-$49,999",1.0065915,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:59","Male","65+","US-MIDWEST-MO-Belton","Suburban","$25,000-$49,999",1.0142414,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:59","Unknown","Unknown","US-NORTHEAST-NY-Valley-Stream","Urban","$50,000-$74,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:27:55","Female","25-34","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",0.9446547,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:56","Male","45-54","US-SOUTH-AL-Albertville","Suburban","$25,000-$49,999",1.7143315,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:27:59","Male","45-54","US-SOUTH-NC-Raleigh","Suburban","$50,000-$74,999",1.7143315,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:28:58","Female","35-44","US-MIDWEST-IN-Jasper","Rural","$25,000-$49,999",1.0257441,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:29:10","Female","25-34","US-WEST-NM-Albuquerque","Urban","$25,000-$49,999",0.9446547,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:14","Male","25-34","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",0.8522426,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:29:18","Female","45-54","US-SOUTH-TX-Houston","Urban","$25,000-$49,999",0.8288947,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:17","Male","18-24","US-WEST-NM-Roswell","Suburban","$25,000-$49,999",1.177885,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:17","Female","45-54","US-MIDWEST-IA-Cedar-Rapids","Suburban","$0-$24,999",0.5425941,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:15","Female","45-54","US-MIDWEST-WI-Cudahy","Urban","$25,000-$49,999",0.5425941,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:26","Female","55-64","US-WEST-CA-Redondo-Beach","Urban","$50,000-$74,999",0.5122865,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:17","Male","45-54","US-SOUTH-TX-Dallas","Suburban","$50,000-$74,999",1.7143315,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:29:18","Male","35-44","US-WEST-NM-Silver-City","Rural","$25,000-$49,999",1.5133354,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:22","Female","35-44","US-SOUTH-GA-Roswell","Suburban","$75,000-$99,999",1.3242941,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:22","Unknown","Unknown","US-WEST-NM-Santa-Fe","Suburban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:22","Female","18-24","US-SOUTH-GA-Columbus","Urban","$0-$24,999",0.6743839,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:29:27","Unknown","Unknown","US-NORTHEAST-PA-West-Chester","Suburban","$50,000-$74,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:34:22","Female","25-34","US-MIDWEST-MI-Dearborn","Urban","$25,000-$49,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:35:01","Female","65+","US-SOUTH-DE-Newark","Suburban","$50,000-$74,999",1.0581287,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:08","Male","Unknown","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:36:07","Unknown","Unknown","US-NORTHEAST-MA-Westfield","Suburban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:36:07","Male","55-64","US-NORTHEAST-NY-New-York","Urban","$50,000-$74,999",3,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:09","Unknown","Unknown","US-SOUTH-MD-Baltimore","Urban","$0-$24,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:13","Female","45-54","US-NORTHEAST-ME-Lisbon","Suburban","$25,000-$49,999",1.105404,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:13","Unknown","Unknown","US-SOUTH-MS-Gulfport","Suburban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:17","Female","55-64","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",0.5122865,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:36:13","Unknown","Unknown","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:36:20","Female","25-34","US-SOUTH-MS-Natchez","Suburban","$25,000-$49,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:37:30","Male","55-64","US-SOUTH-VA-Manassas","Suburban","$50,000-$74,999",1.4908022,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:37:53","Unknown","Unknown","US","Urban","$50,000-$74,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:38:03","Unknown","Unknown","US-WEST-CA-Berkeley","Urban","$25,000-$49,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:37:58","Female","45-54","US-SOUTH-KY-Florence","Suburban","$25,000-$49,999",0.8288947,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:38:02","Male","55-64","US-NORTHEAST-NY-New-York","Suburban","$75,000-$99,999",3,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:38:01","Female","55-64","US-MIDWEST-ND-Fargo","Suburban","$25,000-$49,999",0.3894083,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:38:04","Female","55-64","US-MIDWEST-IL-Wheaton","Urban","$75,000-$99,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:38:01","Female","55-64","US-WEST-NV-Las-Vegas","Urban","$25,000-$49,999",0.5122865,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:38:03","Male","65+","US-MIDWEST-OH-Marion","Suburban","$25,000-$49,999",1.0142414,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:43:44","Male","55-64","US-SOUTH-FL-Port-Charlotte","Urban","$25,000-$49,999",1.4908022,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:00","Unknown","Unknown","US-SOUTH-NC-Cornelius","Suburban","$75,000-$99,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:44:01","Female","25-34","US-SOUTH-AL-Andalusia","Rural","$25,000-$49,999",1.0065915,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:43:59","Female","25-34","US-MIDWEST-WI-Stevens-Point","Suburban","$25,000-$49,999",0.9362303,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:43:58","Female","45-54","US-MIDWEST-IA-Des-Moines","Urban","$25,000-$49,999",0.5425941,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:01","Male","25-34","US-SOUTH-MD-White-Marsh","Rural","$50,000-$74,999",1.1818841,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:43:59","Male","55-64","US-SOUTH-TX-College-Station","Urban","$0-$24,999",1.4908022,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:04","Female","45-54","US-SOUTH-NC-Mint-Hill","Suburban","$50,000-$74,999",0.8288947,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:02","Unknown","Unknown","US-SOUTH-AL-Huntsville","Suburban","$50,000-$74,999",,"Third party candidate / Undecided","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:04","Male","25-34","US-WEST-NM-Albuquerque","Suburban","$0-$24,999",0.8522426,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:44:05","Female","25-34","US-MIDWEST-IL-Chicago","Suburban","$100,000-$149,999",0.9362303,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:44:07","Female","55-64","US-SOUTH-NC-Charlotte","Suburban","$75,000-$99,999",0.4507708,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:44:09","Female","45-54","US-NORTHEAST-PA-Susquehanna-Trails","Rural","$25,000-$49,999",1.105404,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:45:09","Female","45-54","US-SOUTH-DC-Washington","Urban","$50,000-$74,999",0.8288947,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:45:08","Female","25-34","US-MIDWEST-WI-Middleton","Suburban","$50,000-$74,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:45:12","Female","25-34","US-NORTHEAST-VT-St.-Albans-Town","Rural","$25,000-$49,999",0.9986669,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:45:13","Female","45-54","US-SOUTH-TX-Highland-Park","Urban","$50,000-$74,999",0.8288947,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:45:15","Male","35-44","US-SOUTH-MD-Carney","Urban","$25,000-$49,999",2.063548,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:48:40","Female","45-54","US-MIDWEST-IL-Sugar-Grove","Rural","$50,000-$74,999",0.5425941,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:48:54","Male","65+","US-MIDWEST-MI-Meridian-Charter-Township","Suburban","$50,000-$74,999",1.0142414,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:48:55","Unknown","Unknown","US-SOUTH-TX-Dallas","Urban","$25,000-$49,999",,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:48:57","Unknown","Unknown","US-SOUTH-NC-Mint-Hill","Suburban","$50,000-$74,999",,"Mitt Romney / Paul Ryan, the Republicans","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:49:03","Female","25-34","US-MIDWEST-OH-Blue-Ash","Suburban","$50,000-$74,999",0.9362303,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:49:12","Female","65+","US-SOUTH-MS-Pearl","Suburban","$25,000-$49,999",1.0581287,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:49:02","Female","45-54","US-NORTHEAST-NH-Manchester","Urban","$25,000-$49,999",1.105404,"Barack Obama / Joe Biden, the Democrats","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:49:08","Unknown","Unknown","US-MIDWEST-OH-Portsmouth","Suburban","$0-$24,999",,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:49:05","Female","55-64","US-SOUTH-TX-Austin","Suburban","$25,000-$49,999",0.4507708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:49:02","Female","65+","US-SOUTH-KY-Crestwood","Rural","$50,000-$74,999",1.0581287,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:51:56","Male","45-54","US-MIDWEST-IL-Moline","Urban","$25,000-$49,999",1.1327092,"Third party candidate / Undecided","Third party candidate"
"2012-11-06 14:51:58","Female","55-64","US-MIDWEST-KS-Perry","Rural","$25,000-$49,999",0.3894083,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
"2012-11-06 14:52:02","Male","18-24","US-SOUTH-GA-Jonesboro","Suburban","$25,000-$49,999",1.1916284,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:52:01","Male","25-34","US-MIDWEST-MN-Oakdale","Suburban","$50,000-$74,999",1.1495767,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:53:24","Female","35-44","US-WEST-AZ-Tucson","Urban","$25,000-$49,999",1.1191708,"Barack Obama / Joe Biden, the Democrats","Barack Obama / Joe Biden, the Democrats"
"2012-11-06 14:52:15","Female","25-34","US-MIDWEST-MN-Belle-Plaine","Rural","$50,000-$74,999",0.9362303,"Mitt Romney / Paul Ryan, the Republicans","Mitt Romney / Paul Ryan, the Republicans"
